Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
1,Alex,Yee,1998,GBR,6386.37,6,6,5346,1040
2,Léo,Bergere,1996,FRA,6243.86,6,6,4875,1369
3,Hayden,Wilde,1997,NZL,5442.82,6,6,4456,987
4,Vincent,Luis,1989,FRA,4759.69,6,5,3685,1075
5,Jelle,Geens,1993,BEL,4632.83,6,3,3937,696
6,Antonio,Serrat Seoane,1995,ESP,4157.1,6,6,2928,1229
7,Matthew,Hauser,1998,AUS,3681.19,6,6,3165,516
8,Manoel,Messias,1996,BRA,3577.51,6,5,3198,379
9,Dorian,Coninx,1994,FRA,3413.01,6,6,2341,1072
10,Vasco,Vilaca,1999,POR,3373.71,6,4,3001,373
11,Lasse,Lührs,1996,GER,3354.5,6,5,3067,287
12,Matthew,Mcelroy,1992,USA,2984.55,6,4,2730,255
13,Kristian,Blummenfelt,1994,NOR,2974.26,3,5,1748,1226
14,Roberto,Sanchez Mantecon,1996,ESP,2866.85,6,4,2505,361
15,Csongor,Lehmann,1999,HUN,2826.84,6,6,2275,552
16,Jawad,Abdelmoula,1994,MAR,2753.12,6,6,2270,483
17,Joao,Silva,1989,POR,2661.21,6,6,2394,267
18,Michele,Sarzilla,1988,ITA,2573.25,6,6,2102,471
19,Pierre,Le Corre,1990,FRA,2569.84,5,2,2228,342
20,Jonas,Schomburg,1994,GER,2557.25,6,6,1899,658
21,Marten,Van Riel,1992,BEL,2528.38,3,6,1211,1317
22,Tom,Richard,1993,FRA,2499.61,6,6,1741,758
23,Adrien,Briffod,1994,SUI,2442.73,5,5,1664,779
24,Sergio,Baxter Cabrera,2000,ESP,2419.6,6,6,1871,548
25,Kenji,Nener,1993,JPN,2321.32,6,6,1765,556
26,Ricardo,Batista,2000,POR,2276.6,6,6,1843,434
27,David,Castro Fajardo,1993,ESP,2230.49,6,6,1886,344
28,Seth,Rider,1997,USA,2230.05,6,6,1476,754
29,Márk,Dévay,1996,HUN,2221.22,6,6,1652,569
30,Diego,Moya,1998,CHI,2195.35,6,6,1704,491
31,Sylvain,Fridelance,1995,SUI,2174.52,6,6,1562,613
32,Makoto,Odakura,1993,JPN,2155.17,6,4,1749,407
33,Jonathan,Brownlee,1990,GBR,2154.34,5,3,1782,372
34,Miguel,Hidalgo,2000,BRA,2125.28,6,6,1598,528
35,Max,Studer,1996,SUI,2080.89,6,2,1753,328
36,Gábor,Faldum,1988,HUN,2079.37,6,5,1758,321
37,Takumi,Hojo,1996,JPN,2055.57,6,6,1305,751
38,Gianluca,Pozzatti,1993,ITA,1993.81,6,6,1661,333
39,Bence,Bicsák,1995,HUN,1981.84,6,4,1630,351
40,Simon,Westermann,1998,SUI,1951.42,6,6,1636,315
41,Shachar,Sagiv,1994,ISR,1933.6,6,4,1753,181
42,Johannes,Vogel,1996,GER,1919.04,6,6,1590,329
43,Brandon,Copeland,1996,AUS,1906.34,6,6,1343,564
44,Barclay,Izzard,1998,GBR,1853.73,6,3,1676,178
45,Tayler,Reid,1996,NZL,1840.47,6,6,1077,764
46,Henri,Schoeman,1991,RSA,1828.02,5,2,1448,380
47,Lasse Nygaard,Priester,1995,GER,1809.9,5,6,1124,686
48,Morgan,Pearson,1993,USA,1802.39,2,3,1164,638
49,Ren,Sato,1995,JPN,1779.52,6,6,1363,416
50,Vetle Bergsvik,Thorn,1999,NOR,1772.84,6,6,1369,404
51,Aoba,Yasumatsu,1997,JPN,1770.64,6,6,1405,365
52,Kevin,Mcdowell,1992,USA,1738.09,4,5,1237,501
53,Richard,Murray,1989,NED,1724.61,6,1,1655,70
54,Jamie,Riddle,2000,RSA,1703.47,6,6,1343,361
55,Charles,Paquet,1997,CAN,1702.24,6,6,1131,572
56,Gustav,Iden,1996,NOR,1687.55,6,2,1412,275
57,Chase,McQueen,1998,USA,1673.21,6,6,1234,439
58,Joao,Pereira,1987,POR,1666.6,6,2,1578,88
59,Irving,Perez,1986,MEX,1641.96,6,6,1184,458
60,Jacob,Birtwhistle,1995,AUS,1617.4,6,4,1203,415
61,Rodrigo,Gonzalez,1989,MEX,1597.07,6,6,1242,355
62,Nicolò,Strada,2000,ITA,1580.25,6,6,1332,248
63,Rostislav,Pevtsov,1987,AZE,1577.64,6,6,1305,273
64,Alberto,Gonzalez Garcia,1998,ESP,1576.93,6,6,1386,191
