Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
1,Flora,Duffy,1987,BER,5545.76,5,4,4325,1220
2,Georgia,Taylor-Brown,1994,GBR,5405.95,6,3,4977,429
3,Taylor,Spivey,1991,USA,5337.53,6,5,4135,1202
4,Beth,Potter,1991,GBR,4980.99,6,6,4093,888
5,Taylor,Knibb,1998,USA,4700.7,4,4,3447,1254
6,Sophie,Coldwell,1995,GBR,4486.64,6,5,3278,1209
7,Cassandre,Beaugrand,1997,FRA,4339.23,6,5,3671,668
8,Maya,Kingma,1995,NED,4061.93,6,4,3145,917
9,Laura,Lindemann,1996,GER,3977.3,6,6,2857,1121
10,Leonie,Periault,1994,FRA,3898.07,6,4,3068,830
11,Emma,Lombardi,2001,FRA,3797.81,6,5,3409,388
12,Lena,Meißner,1998,GER,3783.03,6,6,3289,494
13,Miriam,Casillas García,1992,ESP,3565.1,6,3,3222,343
14,Verena,Steinhauser,1994,ITA,3114.22,6,6,2450,664
15,Kirsten,Kasper,1991,USA,3084.8,6,6,2212,872
16,Summer,Rappaport,1991,USA,3054.02,6,5,2222,832
17,Lisa,Tertsch,1998,GER,2975.29,6,6,2475,501
18,Marlene,Gomez-Göggel,1993,GER,2747.22,6,6,1997,750
19,Nina,Eim,1998,GER,2734.6,6,6,2252,482
20,Julie,Derron,1996,SUI,2563.82,6,5,2017,547
21,Anabel,Knoll,1996,GER,2555.84,6,6,1973,583
22,Natalie,Van Coevorden,1992,AUS,2529.1,6,6,1896,633
23,Alberte Kjær,Pedersen,1998,DEN,2512.81,6,6,1987,526
24,Emy,Legault,1996,CAN,2462.11,6,6,2004,458
25,Kate,Waugh,1999,GBR,2453.11,6,6,1853,600
26,Vittoria,Lopes,1996,BRA,2358.92,6,5,2093,266
27,Bianca,Seregni,2000,ITA,2344.23,6,6,1840,504
28,Audrey,Merle,1995,FRA,2338.32,6,6,1802,537
29,Erika,Ackerlund,1996,USA,2317.1,6,6,1765,552
30,Olivia,Mathias,1998,GBR,2311.88,6,6,1796,516
31,Luisa,Baptista,1994,BRA,2284.81,6,3,2105,180
32,Julia,Hauser,1994,AUT,2262.71,6,5,1848,415
33,Yuko,Takahashi,1991,JPN,2261.43,6,5,2031,230
34,Annika,Koch,1999,GER,2155.72,6,6,1653,503
35,Zsanett,Bragmayer,1994,HUN,2083.25,6,6,1425,659
